Size,Container,CreateDestroyMean,CreateDestroyCI95,IterateMean,IterateCI95,AccessMean,AccessCI95
1,static_vector,1.108740,0.068708,0.078450,0.014397,0.167500,0.022301
1,vector<unique_ptr>,0.719690,0.063445,0.200040,0.022528,0.199270,0.028510
10,static_vector,0.636200,0.055230,0.086290,0.016404,0.175650,0.019050
10,vector<unique_ptr>,1.553640,0.106622,0.176110,0.021940,0.191980,0.027423
100,static_vector,0.695340,0.048194,0.070860,0.016086,0.216950,0.017956
100,vector<unique_ptr>,5.192500,0.327134,0.301140,0.039949,0.486540,0.034186
1000,static_vector,1.499650,0.264633,0.186290,0.014717,1.249780,0.077096
1000,vector<unique_ptr>,25.406260,0.535276,1.125790,0.049340,2.574660,0.107506
10000,static_vector,8.805170,1.010754,1.352910,0.016137,8.388330,0.237936
10000,vector<unique_ptr>,354.695950,2.239064,8.254280,0.217841,29.274980,0.998214
100000,static_vector,81.265030,7.933165,12.823200,0.089158,80.844800,1.338109
100000,vector<unique_ptr>,4044.819580,25.603680,77.266810,1.437893,266.064820,13.134084
1000000,static_vector,718.010200,38.038233,127.466910,0.206678,569.655460,9.749691
1000000,vector<unique_ptr>,40103.980690,138.505974,585.762900,18.970736,3856.949920,52.455193
10000000,static_vector,11245.568030,42.122543,1279.357400,3.337472,5082.289210,28.243870
10000000,vector<unique_ptr>,331882.258010,643.831488,5153.270010,88.728272,70133.612090,172.012344
100000000,static_vector,101794.195980,138.523625,12224.157000,27.552413,39808.712310,114.765751
100000000,vector<unique_ptr>,3139293.573470,14117.176094,37426.778190,111.396393,785913.187150,1346.785647
